;;x;y;fx;fy;;;;;
;;-76;46;-145;433;;;;;
;;-78;50;-145;433;;;;;
;;-82;58;-145;433;;;;;
;;-84;62;-145;433;;;;;
;;-86;66;-145;433;;;;;
;;-89;73;-123;433;;;;;
;;-91;77;-123;433;;;;;
;;-94;85;-123;387;;;;;
;;-96;89;-123;387;;;;;
;;-96;92;-80;387;;;;;
;;-96;96;-80;387;;;;;
;;-96;100;-80;387;;;;;
;;-96;108;-80;267;;;;;
;;-96;113;-80;267;;;;;
;;-96;118;-33;267;;;;;
;;-96;123;-33;267;;;;;
;;-96;130;-33;154;;;;;
;;-96;130;-33;154;;;;;
;;-96;130;-33;154;;;;;
;;-96;130;0;154;;;;;
;;-96;130;0;154;;;;;
;;-96;130;0;0;;;;;
;;-96;130;0;0;;;;;
;;-96;130;0;0;;;;;
;;-96;130;0;0;;;;;
;;-96;130;0;0;;;;;
;;-96;130;0;0;;;;;
;;-96;130;0;0;;;;;
;;-96;130;0;0;;;;;
;;-96;130;0;0;;;;;
;;-96;130;0;0;;;;;
;;-96;130;0;0;;;;;
;;-96;130;0;0;;;;;
;;-96;130;0;0;;;;;
;;-93;130;275;0;;;;;
;;-88;130;275;0;;;;;
;;-83;130;275;0;;;;;
;;-74;130;275;0;;;;;
;;-69;130;275;0;;;;;
;;-65;130;407;0;;;;;
;;-61;130;407;0;;;;;`+F5:G32+N762
;;-54;130;407;0;;;;;
;;-50;130;407;0;;;;;
;;-47;130;407;0;;;;;
;;-43;130;357;0;;;;;
;;-39;130;357;0;;;;;
;;-32;130;357;0;;;;;
;;-29;130;357;0;;;;;
;;-25;130;357;0;;;;;
;;-21;130;409;0;;;;;
;;-14;130;409;0;;;;;
;;-10;130;409;0;;;;;
;;-3;130;409;0;;;;;
;;0;130;471;0;;;;;
;;3;130;471;0;;;;;
;;7;130;471;0;;;;;
;;11;130;471;0;;;;;
;;18;130;471;0;;;;;
;;22;130;520;0;;;;;
;;25;130;520;0;;;;;
;;29;130;520;0;;;;;
;;36;130;520;0;;;;;
;;40;130;520;0;;;;;
;;47;130;529;0;;;;;
;;51;130;529;0;;;;;
;;54;130;529;0;;;;;
;;58;130;529;0;;;;;
;;62;130;529;0;;;;;
;;69;130;523;-31;;;;;
;;73;130;523;-31;;;;;
;;76;130;523;-31;;;;;
;;84;130;523;-31;;;;;
;;87;130;523;-31;;;;;
;;91;130;485;-46;;;;;
;;95;130;485;-46;;;;;
;;98;130;485;-46;;;;;
;;102;130;485;-46;;;;;
;;109;130;485;-46;;;;;
;;113;130;372;-67;;;;;
;;117;130;372;-67;;;;;
;;120;130;372;-67;;;;;
;;124;130;372;-67;;;;;
;;131;130;372;-67;;;;;
;;138;127;34;-135;;;;;
;;138;125;34;-135;;;;;
;;138;123;34;-135;;;;;
;;138;121;34;-135;;;;;
;;138;119;34;-135;;;;;
;;138;118;0;-79;;;;;
;;138;118;0;-79;;;;;
;;138;118;0;-79;;;;;
;;138;118;0;-79;;;;;
;;138;118;0;-47;;;;;
;;138;118;59;-47;;;;;
;;138;118;59;-47;;;;;
;;138;118;59;-47;;;;;
